rank(season),yr,rank(mnth),rank(hr),holiday,rank(weekday),workingday,weathersit,rank(temp),rank(atemp),rank(hum),rank(windspeed),rank(casual),rank(registered),cnt
-1.1648302982279422,0,-1.7379156670244793,-2.035759058029859,0,1.4590830034856621,0,1,-1.2769422171962619,-0.9465595123805628,0.7708103025056482,-1.5323392186736235,-0.7748933704396191,-1.037754608089102,16
-1.1648302982279422,0,-1.7379156670244793,-1.533273077901304,0,1.4590830034856621,0,1,-1.4489134360007978,-1.0450726089124767,0.7342441810673164,-1.5323392186736235,-0.35645083743980455,-0.699186897346391,40
-1.1648302982279422,0,-1.7379156670244793,-1.2590572147024741,0,1.4590830034856621,0,1,-1.4489134360007978,-1.0450726089124767,0.7342441810673164,-1.5323392186736235,-0.5645829824238631,-0.7660629036391614,32
-1.1648302982279422,0,-1.7379156670244793,-1.0597526365379717,0,1.4590830034856621,0,1,-1.2769422171962619,-0.9465595123805628,0.5091857720321019,-1.5323392186736235,-0.7748933704396191,-1.126600595352063,13
-1.1648302982279422,0,-1.7379156670244793,-0.8974686415064641,0,1.4590830034856621,0,1,-1.2769422171962619,-0.9465595123805628,0.5091857720321019,-1.5323392186736235,-1.6902932669434927,-2.4489423758739015,1
-1.1648302982279422,0,-1.7379156670244793,-0.754029574836836,0,1.4590830034856621,0,2,-1.2769422171962619,-1.1529738653526351,0.5091857720321019,-0.9683431775735508,-1.6902932669434927,-2.4489423758739015,1
-1.1648302982279422,0,-1.7379156670244793,-0.6222079074475125,0,1.4590830034856621,0,1,-1.4489134360007978,-1.0450726089124767,0.7342441810673164,-1.5323392186736235,-0.9299841165944797,-3.1985977565356674,2
-1.1648302982279422,0,-1.7379156670244793,-0.4996035209767629,0,1.4590830034856621,0,1,-1.6315813573445725,-1.1529738653526351,1.0388673177460959,-1.5323392186736235,-1.1645460975703865,-2.053843992901984,3
-1.1648302982279422,0,-1.7379156670244793,-0.3839460010278613,0,1.4590830034856621,0,1,-1.2769422171962619,-0.9465595123805628,0.5091857720321019,-1.5323392186736235,-1.1645460975703865,-1.286122341069483,8
-1.1648302982279422,0,-1.7379156670244793,-0.2732218784792491,0,1.4590830034856621,0,1,-0.7729474453128803,-0.5628077567873184,0.5457372509965186,-1.5323392186736235,-0.35645083743980455,-1.3671241417469358,14
-1.1648302982279422,0,-1.7379156670244793,-0.165758691914234,0,1.4590830034856621,0,1,-0.4571501154611765,-0.45331059450518973,0.5457372509965186,0.5759529446065609,-0.15962018814820236,-0.8124434897915522,36
-1.1648302982279422,0,-1.7379156670244793,-0.06018154024151501,0,1.4590830034856621,0,1,-0.5423924345077926,-0.653407978594373,0.7708103025056482,0.7894841258927878,0.2432470398145891,-0.7250213697941924,56
-1.1648302982279422,0,-1.7379156670244793,0.04479938028743042,0,1.4590830034856621,0,1,-0.29085712166188454,-0.28724785016699206,0.592805288808714,0.7894841258927878,0.31706541113413067,-0.4695145578478405,84
-1.1648302982279422,0,-1.7379156670244793,0.15042362343310306,0,1.4590830034856621,0,2,-0.1342505656849102,-0.1307584456767584,0.37170849050430976,0.9882432192920433,0.652069393827063,-0.5479984563466759,94
-1.1648302982279422,0,-1.7379156670244793,0.25783267055726955,0,1.4590830034856621,0,2,-0.1342505656849102,-0.1307584456767584,0.37170849050430976,0.7894841258927878,0.44748408433664133,-0.34165795050539666,106
-1.1648302982279422,0,-1.7379156670244793,0.36831054039163463,0,1.4590830034856621,0,2,-0.21230890932835778,-0.20876973420303818,0.592805288808714,0.9882432192920433,0.5367201161562709,-0.3496197504995306,110
-1.1648302982279422,0,-1.7379156670244793,0.4835717917755294,0,1.4590830034856621,0,2,-0.29085712166188454,-0.28724785016699206,0.8277872225793511,0.9882432192920433,0.5561453227145351,-0.49854166861718635,93
-1.1648302982279422,0,-1.7379156670244793,0.6057506248967055,0,1.4590830034856621,0,2,-0.21230890932835778,-0.20876973420303818,0.8277872225793511,0.7894841258927878,-0.05035865337434219,-0.49854166861718635,67
-1.1648302982279422,0,-1.7379156670244793,0.7375531958036293,0,1.4590830034856621,0,3,-0.29085712166188454,-0.28724785016699206,1.2800448167723144,0.5759529446065609,-0.30125509771691966,-0.7807488431821916,35
-1.1648302982279422,0,-1.7379156670244793,0.8834249185532477,0,1.4590830034856621,0,3,-0.29085712166188454,-0.28724785016699206,1.2800448167723144,0.5759529446065609,-0.4853559093518075,-0.7114872911223536,37
-1.1648302982279422,0,-1.7379156670244793,1.051067785263179,0,1.4590830034856621,0,2,-0.3795246661106467,-0.37580718598822865,1.111359849043742,0.5759529446065609,-0.2046439958206752,-0.7964961477759218,36
-1.1648302982279422,0,-1.7379156670244793,1.255084230042947,0,1.4590830034856621,0,2,-0.3795246661106467,-0.37580718598822865,1.111359849043742,0.11477261905620406,-0.7748933704396191,-0.7114872911223536,34
-1.1648302982279422,0,-1.7379156670244793,1.5314066938792956,0,1.4590830034856621,0,2,-0.3795246661106467,-0.37580718598822865,1.8538885472509552,0.3501564321283197,-0.2046439958206752,-0.9487062983640778,28
-1.1648302982279422,0,-1.7379156670244793,2.034614900252095,0,1.4590830034856621,0,2,-0.1342505656849102,-0.1307584456767584,1.2800448167723144,0.9882432192920433,-0.05035865337434219,-0.8124434897915522,39
-1.1648302982279422,0,-1.7379156670244793,-2.035759058029859,0,-1.461177060864167,0,2,-0.1342505656849102,-0.1307584456767584,1.2800448167723144,0.9882432192920433,-0.6576098195477923,-1.037754608089102,17
-1.1648302982279422,0,-1.7379156670244793,-1.533273077901304,0,-1.461177060864167,0,2,-0.21230890932835778,-0.20876973420303818,1.8538885472509552,0.5759529446065609,-1.1645460975703865,-0.9689196026388253,17
-1.1648302982279422,0,-1.7379156670244793,-1.2590572147024741,0,-1.461177060864167,0,2,-0.29085712166188454,-0.28724785016699206,2.419637364072596,0.7894841258927878,-1.1645460975703865,-1.2242942502580862,9
-1.1648302982279422,0,-1.7379156670244793,-1.0597526365379717,0,-1.461177060864167,0,2,-0.1342505656849102,-0.1307584456767584,1.8538885472509552,0.11477261905620406,-0.9299841165944797,-1.6183499441963338,6
-1.1648302982279422,0,-1.7379156670244793,-0.8974686415064641,0,-1.461177060864167,0,2,-0.1342505656849102,-0.1307584456767584,1.8538885472509552,0.11477261905620406,-0.9299841165944797,-2.4489423758739015,3
-1.1648302982279422,0,-1.7379156670244793,-0.6222079074475125,0,-1.461177060864167,0,3,-0.29085712166188454,-0.28724785016699206,0.592805288808714,0.9882432192920433,-1.6902932669434927,-2.053843992901984,2
-1.1648302982279422,0,-1.7379156670244793,-0.4996035209767629,0,-1.461177060864167,0,2,-0.3795246661106467,-0.37580718598822865,0.5457372509965186,0.11477261905620406,-1.6902932669434927,-2.4489423758739015,1
-1.1648302982279422,0,-1.7379156670244793,-0.3839460010278613,0,-1.461177060864167,0,3,-0.3795246661106467,-0.37580718598822865,0.3421931559878031,0.3501564321283197,-1.6902932669434927,-1.2242942502580862,8
-1.1648302982279422,0,-1.7379156670244793,-0.2732218784792491,0,-1.461177060864167,0,2,-0.4571501154611765,-0.45331059450518973,0.5457372509965186,0.3501564321283197,-1.1645460975703865,-0.9097264357000034,20
-1.1648302982279422,0,-1.7379156670244793,-0.165758691914234,0,-1.461177060864167,0,2,-0.5423924345077926,-0.5628077567873184,0.7708103025056482,0.3501564321283197,-0.41723554544803493,-0.5570715186589505,53
-1.1648302982279422,0,-1.7379156670244793,-0.06018154024151501,0,-1.461177060864167,0,2,-0.5423924345077926,-0.653407978594373,0.3421931559878031,0.5759529446065609,-0.018390765907559926,-0.4786329385680061,70
-1.1648302982279422,0,-1.7379156670244793,0.04479938028743042,0,-1.461177060864167,0,2,-0.5423924345077926,-0.653407978594373,0.1322860494645538,0.9882432192920433,0.1030201892968645,-0.32526624842161467,93
-1.1648302982279422,0,-1.7379156670244793,0.15042362343310306,0,-1.461177060864167,0,2,-0.5423924345077926,-0.5628077567873184,0.1322860494645538,-0.3840236350857566,-0.2046439958206752,-0.395851283140754,75
-1.1648302982279422,0,-1.7379156670244793,0.25783267055726955,0,-1.461177060864167,0,3,-0.5423924345077926,-0.5628077567873184,0.5457372509965186,0.11477261905620406,-0.6576098195477923,-0.4695145578478405,59
-1.1648302982279422,0,-1.7379156670244793,0.36831054039163463,0,-1.461177060864167,0,3,-0.655999235807322,-0.653407978594373,0.7708103025056482,-0.12755873690734662,0.07442083864839728,-0.4695145578478405,74
-1.1648302982279422,0,-1.7379156670244793,0.4835717917755294,0,-1.461177060864167,0,3,-0.655999235807322,-0.653407978594373,0.3421931559878031,-0.12755873690734662,-0.30125509771691966,-0.37170849050430993,76
-1.1648302982279422,0,-1.7379156670244793,0.6057506248967055,0,-1.461177060864167,0,1,-0.655999235807322,-0.653407978594373,-0.23612208558783868,0.11477261905620406,-0.41723554544803493,-0.44493479068205977,65
-1.1648302982279422,0,-1.7379156670244793,0.7375531958036293,0,-1.461177060864167,0,2,-0.5423924345077926,-0.653407978594373,-0.7527843835086216,1.1702480903372205,-0.25142628169367887,-0.5836314088363914,53
-1.1648302982279422,0,-1.7379156670244793,0.8834249185532477,0,-1.461177060864167,0,1,-0.7729474453128803,-0.9465595123805628,-0.9697271390135301,1.8364786424447375,-1.1645460975703865,-0.738784316283878,30
-1.1648302982279422,0,-1.7379156670244793,1.051067785263179,0,-1.461177060864167,0,1,-0.9011425816529189,-1.0450726089124767,-1.1564855813016606,1.3383176489281765,-0.5645829824238631,-0.9487062983640778,22
-1.1648302982279422,0,-1.7379156670244793,1.255084230042947,0,-1.461177060864167,0,1,-1.1173980803120835,-1.3919633948377257,-0.8581375722384551,1.1702480903372205,-0.2046439958206752,-0.888015373634341,31
-1.1648302982279422,0,-1.7379156670244793,1.5314066938792956,0,-1.461177060864167,0,1,-1.2769422171962619,-1.5624219544241886,-0.8581375722384551,0.9882432192920433,-1.6902932669434927,-1.169962086796956,9
-1.1648302982279422,0,-1.7379156670244793,2.034614900252095,0,-1.461177060864167,0,1,-1.4489134360007978,-1.3919633948377257,-0.6999237695205194,-0.12755873690734662,-1.6902932669434927,-1.2242942502580862,8
-1.1648302982279422,0,-1.7379156670244793,-2.035759058029859,0,-0.7882044385228248,1,1,-1.4489134360007978,-1.7092516858163813,-0.8581375722384551,1.3383176489281765,-1.6902932669434927,-1.4766615466808566,5
-1.1648302982279422,0,-1.7379156670244793,-1.533273077901304,0,-0.7882044385228248,1,1,-1.6315813573445725,-1.94442534676701,-0.8581375722384551,1.6774930205948053,-1.6902932669434927,-2.053843992901984,2
-1.1648302982279422,0,-1.7379156670244793,-0.8974686415064641,0,-0.7882044385228248,1,1,-1.9487414139470327,-2.1961687599768767,-0.6999237695205194,1.5047001915331548,-1.6902932669434927,-2.4489423758739015,1
-1.1648302982279422,0,-1.7379156670244793,-0.754029574836836,0,-0.7882044385228248,1,1,-1.9487414139470327,-2.1961687599768767,-0.6999237695205194,0.7894841258927878,-1.6902932669434927,-1.8054439675799583,3
-1.1648302982279422,0,-1.7379156670244793,-0.6222079074475125,0,-0.7882044385228248,1,1,-2.1680966712955136,-2.5430078619649503,-0.5552196036077207,1.5047001915331548,-1.6902932669434927,-0.7250213697941924,30
-1.1648302982279422,0,-1.7379156670244793,-0.4996035209767629,0,-0.7882044385228248,1,1,-2.1680966712955136,-2.1961687599768767,-0.5552196036077207,0.11477261905620406,-1.1645460975703865,-0.40507152286889264,64
-1.1648302982279422,0,-1.7379156670244793,-0.3839460010278613,0,-0.7882044385228248,1,1,-2.1680966712955136,-2.366592209184946,-0.5552196036077207,0.7894841258927878,-1.1645460975703865,0.2576835655423247,154
-1.1648302982279422,0,-1.7379156670244793,-0.2732218784792491,0,-0.7882044385228248,1,1,-1.9487414139470327,-2.1961687599768767,-0.9130037339813942,1.5047001915331548,-0.41723554544803493,-0.2659676651121878,88
